,Column1,pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,body
32,32,1,1,132,0,30.0,0,0,626,164.8667,100,2,160.8099173553719
33,33,1,1,133,0,58.0,0,0,50,26.55,62,2,160.8099173553719
34,34,1,0,134,1,42.0,0,0,4,26.55,125,2,160.8099173553719
35,35,1,1,144,0,45.0,0,0,824,262.375,186,0,160.8099173553719
36,36,1,1,147,0,22.0,0,1,38,55.0,155,2,160.8099173553719
37,37,1,1,150,1,29.8811345124283,0,0,13,26.55,186,2,160.8099173553719
38,38,1,0,151,1,41.0,0,0,32,30.5,7,2,160.8099173553719
39,39,1,0,153,1,48.0,0,0,808,50.4958,20,0,208.0
40,40,1,0,156,1,29.8811345124283,0,0,24,39.6,186,0,160.8099173553719
41,41,1,1,162,0,44.0,0,0,826,27.7208,38,0,160.8099173553719
42,42,1,1,163,0,59.0,2,0,76,51.4792,61,2,160.8099173553719
43,43,1,1,169,0,60.0,0,0,81,76.2917,120,0,160.8099173553719
44,44,1,1,171,0,41.0,0,0,105,134.5,160,0,160.8099173553719
45,45,1,0,175,1,45.0,0,0,30,26.55,36,2,160.8099173553719
46,46,1,0,182,1,29.8811345124283,0,0,62,31.0,186,2,160.8099173553719
47,47,1,1,183,1,42.0,0,0,794,26.2875,152,2,160.8099173553719
48,48,1,1,193,0,53.0,0,0,822,27.4458,186,0,160.8099173553719
49,49,1,1,198,1,36.0,0,1,831,512.3292,45,0,160.8099173553719
50,50,1,1,199,0,58.0,0,1,831,512.3292,45,0,160.8099173553719
51,51,1,0,202,1,33.0,0,0,688,5.0,45,2,160.8099173553719
52,52,1,0,205,1,28.0,0,0,35,47.1,186,2,160.8099173553719
53,53,1,0,206,1,17.0,0,0,35,47.1,186,2,160.8099173553719
54,54,1,1,207,1,11.0,1,2,43,120.0,60,2,160.8099173553719
55,55,1,1,208,0,14.0,1,2,43,120.0,60,2,160.8099173553719
56,56,1,1,209,1,36.0,1,2,43,120.0,60,2,160.8099173553719
57,57,1,1,211,0,36.0,1,2,43,120.0,60,2,160.8099173553719
58,58,1,0,214,1,49.0,0,0,119,26.0,186,2,160.8099173553719
59,59,1,1,215,0,29.8811345124283,0,0,117,27.7208,186,0,160.8099173553719
60,60,1,0,216,1,36.0,1,0,118,78.85,87,2,172.0
61,61,1,1,217,0,76.0,1,0,118,78.85,87,2,160.8099173553719
62,62,1,0,219,1,46.0,1,0,926,61.175,154,2,160.8099173553719
63,63,1,1,220,0,47.0,1,0,926,61.175,154,2,160.8099173553719
64,64,1,1,221,1,27.0,1,0,67,53.1,173,2,160.8099173553719
65,65,1,1,222,0,33.0,1,0,67,53.1,173,2,160.8099173553719
66,66,1,1,227,0,36.0,0,0,824,262.375,49,0,160.8099173553719
67,67,1,1,228,0,30.0,0,0,0,86.5,53,2,160.8099173553719
68,68,1,1,229,1,45.0,0,0,811,29.7,19,0,160.8099173553719
69,69,1,1,230,0,29.8811345124283,0,1,38,55.0,155,2,160.8099173553719
70,70,1,0,232,1,29.8811345124283,0,0,16,0.0,186,2,160.8099173553719
71,71,1,0,238,1,27.0,1,0,94,136.7792,109,0,160.8099173553719
72,72,1,1,239,0,26.0,1,0,94,136.7792,109,0,160.8099173553719
73,73,1,1,242,0,22.0,0,0,49,151.55,186,2,160.8099173553719
74,74,1,0,243,1,29.8811345124283,0,0,2,52.0,2,2,160.8099173553719
75,75,1,0,252,1,47.0,0,0,679,25.5875,167,2,160.8099173553719
76,76,1,1,256,0,39.0,1,1,832,83.1583,164,0,160.8099173553719
77,77,1,0,257,1,37.0,1,1,832,83.1583,166,0,160.8099173553719
78,78,1,1,258,0,64.0,0,2,832,83.1583,162,0,160.8099173553719
79,79,1,1,271,0,55.0,2,0,77,25.7,61,2,160.8099173553719
80,80,1,0,277,1,29.8811345124283,0,0,57,26.55,186,2,160.8099173553719
81,81,1,0,281,1,70.0,1,1,928,71.0,27,2,269.0
82,82,1,1,282,0,36.0,0,2,928,71.0,27,2,160.8099173553719
83,83,1,1,283,0,64.0,1,1,25,26.55,29,2,160.8099173553719
84,84,1,0,285,1,39.0,1,0,816,71.2833,106,0,160.8099173553719
85,85,1,1,286,0,38.0,1,0,816,71.2833,106,0,160.8099173553719
86,86,1,1,294,1,51.0,0,0,33,26.55,151,2,160.8099173553719
87,87,1,1,298,1,27.0,0,0,66,30.5,186,2,160.8099173553719
88,88,1,1,299,0,33.0,0,0,49,151.55,186,2,160.8099173553719
89,89,1,0,302,1,31.0,1,0,779,52.0,51,2,160.8099173553719
90,90,1,1,303,0,27.0,1,2,779,52.0,51,2,160.8099173553719
91,91,1,1,327,1,31.0,1,0,113,57.0,26,2,160.8099173553719
92,92,1,1,328,0,17.0,1,0,113,57.0,26,2,160.8099173553719
93,93,1,1,332,1,53.0,1,1,398,81.8583,14,2,160.8099173553719
94,94,1,1,333,1,4.0,0,2,398,81.8583,14,2,160.8099173553719
95,95,1,1,334,0,54.0,1,1,398,81.8583,14,2,160.8099173553719
96,96,1,0,340,1,50.0,1,0,837,106.425,107,0,62.0
97,97,1,1,341,0,27.0,1,1,800,247.5208,48,0,160.8099173553719
98,98,1,1,342,0,48.0,1,0,837,106.425,107,0,160.8099173553719
99,99,1,1,352,0,48.0,1,0,73,39.6,3,0,160.8099173553719
100,100,1,1,353,1,49.0,1,0,798,56.9292,6,0,160.8099173553719
101,101,1,0,354,1,39.0,0,0,804,29.7,4,0,133.0
102,102,1,1,360,0,23.0,0,1,75,83.1583,94,0,160.8099173553719
103,103,1,1,373,0,38.0,0,0,833,227.525,86,0,160.8099173553719
104,104,1,1,374,0,54.0,1,0,627,78.2667,123,0,160.8099173553719
105,105,1,0,375,0,36.0,0,0,799,31.6792,11,0,160.8099173553719
106,106,1,0,379,1,29.8811345124283,0,0,797,221.7792,114,2,160.8099173553719
107,107,1,1,385,0,29.8811345124283,0,0,815,31.6833,186,2,160.8099173553719
108,108,1,1,387,0,29.8811345124283,0,0,107,110.8833,186,0,160.8099173553719
109,109,1,1,390,1,36.0,0,0,792,26.3875,153,2,160.8099173553719
110,110,1,0,400,1,30.0,0,0,31,27.75,67,0,160.8099173553719
111,111,1,1,401,0,24.0,3,2,123,263.0,80,2,160.8099173553719
112,112,1,1,402,0,28.0,3,2,123,263.0,80,2,160.8099173553719
113,113,1,1,403,0,23.0,3,2,123,263.0,80,2,160.8099173553719
114,114,1,0,404,1,19.0,3,2,123,263.0,80,2,160.8099173553719
115,115,1,0,405,1,64.0,1,4,123,263.0,80,2,160.8099173553719
116,116,1,1,406,0,60.0,1,4,123,263.0,80,2,160.8099173553719
117,117,1,1,409,0,30.0,0,0,798,56.9292,157,0,160.8099173553719
118,118,1,0,411,1,29.8811345124283,0,0,47,26.55,130,2,160.8099173553719
119,119,1,1,412,1,50.0,2,0,827,133.65,186,2,160.8099173553719
120,120,1,1,413,1,43.0,1,0,116,27.7208,135,0,160.8099173553719
121,121,1,1,414,0,29.8811345124283,1,0,827,133.65,186,2,160.8099173553719
122,122,1,1,415,0,22.0,0,2,97,49.5,37,0,160.8099173553719
123,123,1,1,416,1,60.0,1,1,96,79.2,39,0,160.8099173553719
124,124,1,1,417,0,48.0,1,1,96,79.2,39,0,160.8099173553719
125,125,1,0,419,1,29.8811345124283,0,0,19,0.0,22,2,160.8099173553719
126,126,1,0,421,1,37.0,1,0,65,53.1,70,2,160.8099173553719
127,127,1,1,422,0,35.0,1,0,65,53.1,70,2,160.8099173553719
128,128,1,0,431,1,47.0,0,0,9,38.5,169,2,275.0
129,129,1,1,432,0,35.0,0,0,37,211.5,75,0,160.8099173553719
130,130,1,1,434,0,22.0,0,1,23,59.4,186,0,160.8099173553719
131,131,1,1,435,0,45.0,0,1,23,59.4,186,0,160.8099173553719
132,132,1,0,436,1,24.0,0,0,810,79.2,58,0,160.8099173553719
133,133,1,1,447,1,49.0,1,0,108,89.1042,112,0,160.8099173553719
134,134,1,1,448,0,29.8811345124283,1,0,108,89.1042,112,0,160.8099173553719
135,135,1,0,449,1,71.0,0,0,830,34.6542,16,0,160.8099173553719
136,136,1,1,463,1,53.0,0,0,48,28.5,91,0,160.8099173553719
137,137,1,1,464,0,19.0,0,0,18,30.0,40,2,160.8099173553719
138,138,1,0,465,1,38.0,0,1,805,153.4625,111,2,147.0
139,139,1,1,466,0,58.0,0,1,805,153.4625,72,2,160.8099173553719
140,140,1,1,469,1,23.0,0,1,835,63.3583,118,0,160.8099173553719
141,141,1,1,470,0,45.0,0,1,835,63.3583,118,0,160.8099173553719
142,142,1,0,473,1,46.0,0,0,810,79.2,57,0,160.8099173553719
143,143,1,1,494,1,25.0,1,0,74,55.4417,165,0,160.8099173553719
144,144,1,1,495,0,25.0,1,0,74,55.4417,165,0,160.8099173553719
145,145,1,1,499,1,48.0,1,0,803,76.7292,129,0,160.8099173553719
146,146,1,1,500,0,49.0,1,0,803,76.7292,129,0,160.8099173553719
147,147,1,0,502,1,29.8811345124283,0,0,61,42.4,186,2,160.8099173553719
148,148,1,0,504,1,45.0,1,0,630,83.475,105,2,160.8099173553719
149,149,1,1,506,0,35.0,1,0,630,83.475,105,2,160.8099173553719
150,150,1,0,507,1,40.0,0,0,20,0.0,59,2,110.0
151,151,1,1,512,1,27.0,0,0,803,76.7292,141,0,160.8099173553719
152,152,1,1,514,1,29.8811345124283,0,0,106,30.0,137,2,160.8099173553719
153,153,1,1,515,0,24.0,0,0,75,83.1583,94,0,160.8099173553719
154,154,1,0,516,1,55.0,1,1,86,93.5,50,2,307.0
155,155,1,1,517,0,52.0,1,1,86,93.5,50,2,160.8099173553719
156,156,1,0,518,1,42.0,0,0,27,42.5,23,2,160.8099173553719
157,157,1,0,537,1,29.8811345124283,0,0,109,51.8625,163,2,160.8099173553719
158,158,1,0,539,1,55.0,0,0,685,50.0,85,2,160.8099173553719
159,159,1,1,540,0,16.0,0,1,10,57.9792,24,0,160.8099173553719
160,160,1,1,541,0,44.0,0,1,10,57.9792,24,0,160.8099173553719
161,161,1,1,549,0,51.0,1,0,92,77.9583,119,2,160.8099173553719
162,162,1,0,554,1,42.0,1,0,55,52.0,186,2,38.0
163,163,1,1,555,0,35.0,1,0,55,52.0,186,2,160.8099173553719
164,164,1,1,556,1,35.0,0,0,12,26.55,186,0,160.8099173553719
165,165,1,1,564,1,38.0,1,0,121,90.0,113,2,160.8099173553719
166,166,1,0,565,1,29.8811345124283,0,0,817,30.6958,186,0,160.8099173553719
167,167,1,1,566,0,35.0,1,0,121,90.0,113,2,160.8099173553719
168,168,1,1,571,0,38.0,0,0,42,80.0,30,3,160.8099173553719
169,169,1,0,576,0,50.0,0,0,812,28.7125,89,0,160.8099173553719
170,170,1,1,577,1,49.0,0,0,19,0.0,46,2,160.8099173553719
171,171,1,0,610,1,46.0,0,0,687,26.0,186,2,80.0
172,172,1,0,614,1,50.0,0,0,29,26.0,168,2,160.8099173553719
173,173,1,0,635,1,32.5,0,0,37,211.5,76,0,45.0
174,174,1,0,641,1,58.0,0,0,78,29.7,35,0,258.0
175,175,1,0,642,1,41.0,1,0,110,51.8625,124,2,160.8099173553719
176,176,1,1,643,0,29.8811345124283,1,0,110,51.8625,124,2,160.8099173553719
177,177,1,1,649,1,42.0,1,0,72,52.5542,122,2,160.8099173553719
178,178,1,1,650,0,45.0,1,0,72,52.5542,122,2,160.8099173553719
179,179,1,0,657,1,29.8811345124283,0,0,26,26.55,71,2,160.8099173553719
180,180,1,1,664,0,39.0,0,0,187,211.3375,186,2,160.8099173553719
181,181,1,1,685,0,49.0,0,0,111,25.9292,121,2,160.8099173553719
182,182,1,1,684,0,30.0,0,0,837,106.425,186,0,160.8099173553719
183,183,1,1,701,1,35.0,0,0,831,512.3292,21,0,160.8099173553719
184,184,1,0,703,1,29.8811345124283,0,0,828,27.7208,186,0,160.8099173553719
185,185,1,0,708,1,42.0,0,0,114,26.55,186,2,160.8099173553719
186,186,1,1,712,0,55.0,0,0,22,27.7208,186,0,160.8099173553719
187,187,1,1,714,0,16.0,0,1,809,39.4,127,2,160.8099173553719
188,188,1,1,715,0,51.0,0,1,809,39.4,127,2,160.8099173553719
189,189,1,0,722,1,29.0,0,0,36,30.0,144,2,126.0
190,190,1,1,723,0,21.0,0,0,92,77.9583,146,2,160.8099173553719
191,191,1,0,724,1,30.0,0,0,64,45.5,186,2,160.8099173553719
192,192,1,1,732,0,58.0,0,0,802,146.5208,56,0,160.8099173553719
193,193,1,1,737,0,15.0,0,1,187,211.3375,43,2,160.8099173553719
194,194,1,0,740,1,30.0,0,0,3,26.0,65,2,160.8099173553719
195,195,1,1,743,0,16.0,0,0,0,86.5,55,2,160.8099173553719
196,196,1,1,755,1,29.8811345124283,0,0,79,29.7,88,0,160.8099173553719
197,197,1,0,758,1,19.0,1,0,45,53.1,128,2,160.8099173553719
198,198,1,1,759,0,18.0,1,0,45,53.1,128,2,160.8099173553719
199,199,1,1,764,0,24.0,0,0,796,49.5042,110,0,160.8099173553719
200,200,1,0,765,1,46.0,0,0,88,75.2417,96,0,292.0
201,201,1,0,767,1,54.0,0,0,109,51.8625,163,2,175.0
202,202,1,1,776,1,36.0,0,0,791,26.2875,153,2,160.8099173553719
203,203,1,0,793,1,28.0,1,0,820,82.1708,186,0,160.8099173553719
204,204,1,1,794,0,29.8811345124283,1,0,820,82.1708,186,0,160.8099173553719
205,205,1,0,797,1,65.0,0,0,95,26.55,158,2,249.0
206,206,1,0,799,1,44.0,2,0,120,90.0,102,1,230.0
207,207,1,1,800,0,33.0,1,0,120,90.0,102,1,160.8099173553719
208,208,1,1,801,0,37.0,1,0,120,90.0,102,1,160.8099173553719
209,209,1,1,807,1,30.0,1,0,91,57.75,102,0,160.8099173553719
210,210,1,0,810,1,55.0,0,0,53,30.5,82,2,160.8099173553719
211,211,1,0,814,1,47.0,0,0,61,42.4,186,2,160.8099173553719
212,212,1,0,848,1,37.0,0,1,813,29.7,69,0,160.8099173553719
213,213,1,1,855,0,31.0,1,0,573,113.275,132,0,160.8099173553719
214,214,1,1,856,0,23.0,1,0,573,113.275,132,0,160.8099173553719
215,215,1,0,857,1,58.0,0,2,573,113.275,140,0,122.0
216,216,1,1,858,0,19.0,0,2,71,26.2833,139,2,160.8099173553719
217,217,1,0,860,1,64.0,0,0,686,26.0,186,2,263.0
218,218,1,1,891,0,39.0,0,0,834,108.9,64,0,160.8099173553719
219,219,1,1,900,1,29.8811345124283,0,0,780,25.7417,186,0,160.8099173553719
220,220,1,1,906,0,22.0,0,1,39,61.9792,34,0,160.8099173553719
221,221,1,0,907,1,65.0,0,1,39,61.9792,32,0,234.0
222,222,1,0,909,1,28.5,0,0,801,27.7208,136,0,189.0
223,223,1,0,927,1,29.8811345124283,0,0,17,0.0,186,2,160.8099173553719
224,224,1,0,929,1,45.5,0,0,28,28.5,71,2,166.0
225,225,1,0,934,1,23.0,0,0,86,93.5,28,2,160.8099173553719
226,226,1,0,939,1,29.0,1,0,46,66.6,78,2,160.8099173553719
227,227,1,1,940,0,22.0,1,0,46,66.6,78,2,160.8099173553719
228,228,1,0,945,1,18.0,1,0,834,108.9,98,0,160.8099173553719
229,229,1,1,946,0,17.0,1,0,834,108.9,98,0,160.8099173553719
230,230,1,1,950,0,30.0,0,0,86,93.5,52,2,160.8099173553719
231,231,1,1,963,1,52.0,0,0,52,30.5,63,2,160.8099173553719
232,232,1,0,974,1,47.0,0,0,2,52.0,66,2,207.0
233,233,1,1,975,0,56.0,0,1,75,83.1583,90,0,160.8099173553719
234,234,1,0,988,1,38.0,0,0,125,0.0,186,2,160.8099173553719
235,235,1,1,991,1,29.8811345124283,0,0,823,39.6,186,2,160.8099173553719
236,236,1,0,1004,1,22.0,0,0,836,135.6333,186,0,232.0
237,237,1,0,1009,1,29.8811345124283,0,0,833,227.525,186,0,160.8099173553719
238,238,1,1,1010,0,43.0,0,1,187,211.3375,31,2,160.8099173553719
239,239,1,0,1013,1,31.0,0,0,807,50.4958,9,2,160.8099173553719
240,240,1,1,1016,1,45.0,0,0,14,26.55,186,2,160.8099173553719
241,241,1,0,1018,1,29.8811345124283,0,0,44,50.0,13,2,160.8099173553719
242,242,1,1,1022,0,33.0,0,0,829,27.7208,1,0,160.8099173553719
243,243,1,0,1023,1,46.0,0,0,806,79.2,186,0,16.0
244,244,1,0,1024,1,36.0,0,0,87,40.125,0,0,160.8099173553719
245,245,1,1,1026,0,33.0,0,0,0,86.5,53,2,160.8099173553719
246,246,1,0,1027,1,55.0,1,0,819,59.4,186,0,160.8099173553719
247,247,1,1,1028,0,54.0,1,0,819,59.4,186,0,160.8099173553719
248,248,1,0,1030,1,33.0,0,0,56,26.55,186,2,109.0
249,249,1,1,1035,1,13.0,2,2,824,262.375,47,0,160.8099173553719
250,250,1,1,1036,0,18.0,2,2,824,262.375,47,0,160.8099173553719
251,251,1,1,1037,0,21.0,2,2,824,262.375,47,0,160.8099173553719
252,252,1,0,1038,1,61.0,1,3,824,262.375,47,0,160.8099173553719
253,253,1,1,1039,0,48.0,1,3,824,262.375,47,0,160.8099173553719
254,254,1,1,1043,1,29.8811345124283,0,0,126,30.5,65,2,160.8099173553719
255,255,1,1,1058,0,24.0,0,0,795,69.3,33,0,160.8099173553719
256,256,1,1,1061,1,29.8811345124283,0,0,7,26.0,186,2,160.8099173553719
257,257,1,1,1073,0,35.0,1,0,91,57.75,81,0,160.8099173553719
258,258,1,1,1077,0,30.0,0,0,62,31.0,186,0,160.8099173553719
259,259,1,1,1078,1,34.0,0,0,59,26.55,186,2,160.8099173553719
260,260,1,1,1086,0,40.0,0,0,805,153.4625,72,2,160.8099173553719
261,261,1,1,1088,1,35.0,0,0,793,26.2875,152,2,160.8099173553719
262,262,1,0,1089,1,50.0,1,0,93,55.9,161,2,160.8099173553719
263,263,1,1,1090,0,39.0,1,0,93,55.9,161,2,160.8099173553719
264,264,1,1,1092,1,56.0,0,0,89,35.5,10,0,160.8099173553719
265,265,1,1,1111,1,28.0,0,0,54,35.5,17,2,160.8099173553719
266,266,1,0,1112,1,56.0,0,0,58,26.55,186,2,160.8099173553719
267,267,1,0,1115,1,56.0,0,0,115,30.6958,18,0,160.8099173553719
268,268,1,0,1116,1,24.0,1,0,98,60.0,83,2,160.8099173553719
269,269,1,0,1117,1,29.8811345124283,0,0,34,26.0,5,2,160.8099173553719
270,270,1,1,1119,0,18.0,1,0,98,60.0,83,2,160.8099173553719
271,271,1,1,1121,1,24.0,1,0,131,82.2667,41,2,160.8099173553719
272,272,1,1,1122,0,23.0,1,0,131,82.2667,41,2,160.8099173553719
273,273,1,1,1127,1,6.0,0,2,105,134.5,156,0,160.8099173553719
274,274,1,1,1128,1,45.0,1,1,105,134.5,156,0,160.8099173553719
275,275,1,1,1129,0,40.0,1,1,105,134.5,156,0,160.8099173553719
276,276,1,0,1130,1,57.0,1,0,802,146.5208,54,0,160.8099173553719
277,277,1,1,1131,0,29.8811345124283,1,0,802,146.5208,54,0,160.8099173553719
278,278,1,1,1133,1,32.0,0,0,90,30.5,44,0,160.8099173553719
279,279,1,0,1139,1,62.0,0,0,41,26.55,108,2,160.8099173553719
280,280,1,1,1140,1,54.0,1,0,80,55.4417,68,0,160.8099173553719
281,281,1,1,1141,0,43.0,1,0,80,55.4417,68,0,160.8099173553719
282,282,1,1,1142,0,52.0,1,0,627,78.2667,123,0,160.8099173553719
283,283,1,0,1143,1,29.8811345124283,0,0,821,27.7208,186,0,160.8099173553719
284,284,1,1,1145,0,62.0,0,0,42,80.0,30,3,160.8099173553719
285,285,1,0,1150,1,67.0,1,0,797,221.7792,95,2,96.0
286,286,1,0,1151,0,63.0,1,0,797,221.7792,95,2,160.8099173553719
287,287,1,0,1158,1,61.0,0,0,628,32.3208,142,2,46.0
288,288,1,1,1164,0,48.0,0,0,112,25.9292,121,2,160.8099173553719
289,289,1,1,1165,0,18.0,0,2,1,79.65,171,2,160.8099173553719
290,290,1,0,1166,1,52.0,1,1,1,79.65,170,2,160.8099173553719
291,291,1,1,1167,0,39.0,1,1,1,79.65,170,2,160.8099173553719
292,292,1,1,1168,1,48.0,1,0,127,52.0,73,2,160.8099173553719
293,293,1,1,1169,0,29.8811345124283,1,0,127,52.0,73,2,160.8099173553719
294,294,1,0,1171,1,49.0,1,1,107,110.8833,99,0,160.8099173553719
295,295,1,1,1172,1,17.0,0,2,107,110.8833,101,0,160.8099173553719
296,296,1,1,1173,0,39.0,1,1,107,110.8833,99,0,160.8099173553719
297,297,1,1,1181,0,29.8811345124283,0,0,806,79.2,186,0,160.8099173553719
298,298,1,1,1199,1,31.0,0,0,227,28.5375,93,0,160.8099173553719
299,299,1,0,1205,1,40.0,0,0,818,27.7208,186,0,160.8099173553719
300,300,1,0,1209,1,61.0,0,0,8,33.5,25,2,245.0
301,301,1,0,1225,1,47.0,0,0,629,34.0208,138,2,160.8099173553719
302,302,1,1,1226,0,35.0,0,0,831,512.3292,186,0,160.8099173553719
303,303,1,0,1232,1,64.0,1,0,6,75.25,133,0,160.8099173553719
304,304,1,1,1233,0,60.0,1,0,6,75.25,133,0,160.8099173553719
305,305,1,0,1239,1,60.0,0,0,63,26.55,186,2,160.8099173553719
306,306,1,0,1253,1,54.0,0,1,574,77.2875,126,2,160.8099173553719
307,307,1,0,1254,1,21.0,0,1,574,77.2875,126,2,169.0
308,308,1,1,1255,0,55.0,0,0,836,135.6333,84,0,160.8099173553719
309,309,1,1,1256,0,31.0,0,2,626,164.8667,100,2,160.8099173553719
310,310,1,0,1257,1,57.0,1,1,626,164.8667,186,2,160.8099173553719
311,311,1,1,1258,0,45.0,1,1,626,164.8667,186,2,160.8099173553719
312,312,1,0,1260,1,50.0,1,1,37,211.5,103,0,160.8099173553719
313,313,1,0,1261,1,27.0,0,2,37,211.5,104,0,160.8099173553719
314,314,1,1,1262,0,50.0,1,1,37,211.5,103,0,160.8099173553719
315,315,1,1,1267,0,21.0,0,0,60,26.55,186,2,160.8099173553719
316,316,1,0,1270,1,51.0,0,1,814,61.3792,186,0,160.8099173553719
317,317,1,1,1274,1,21.0,0,1,814,61.3792,186,0,160.8099173553719
318,318,1,0,1275,1,29.8811345124283,0,0,40,35.0,74,2,160.8099173553719
319,319,1,1,1276,0,31.0,0,0,105,134.5,159,0,160.8099173553719
320,320,1,1,1281,1,29.8811345124283,0,0,122,35.5,92,2,160.8099173553719
321,321,1,0,1283,1,62.0,0,0,68,26.55,186,2,160.8099173553719
322,322,1,1,1286,0,36.0,0,0,836,135.6333,84,0,160.8099173553719
323,323,2,0,6,1,30.0,1,0,789,24.0,186,0,160.8099173553719
324,324,2,1,7,0,28.0,1,0,789,24.0,186,0,160.8099173553719
325,325,2,0,16,1,30.0,0,0,213,13.0,186,2,160.8099173553719
326,326,2,0,43,1,18.0,0,0,150,11.5,186,2,160.8099173553719
327,327,2,0,44,1,25.0,0,0,765,10.5,186,2,160.8099173553719
328,328,2,0,48,1,34.0,1,0,142,26.0,186,2,160.8099173553719
329,329,2,1,49,0,36.0,1,0,142,26.0,186,2,160.8099173553719
330,330,2,0,55,1,57.0,0,0,195,13.0,186,2,160.8099173553719
331,331,2,0,84,1,18.0,0,0,323,11.5,186,2,160.8099173553719
332,332,2,0,85,1,23.0,0,0,760,10.5,186,2,160.8099173553719
333,333,2,1,87,0,36.0,0,0,312,13.0,117,2,160.8099173553719
334,334,2,0,88,1,28.0,0,0,774,10.5,186,2,160.8099173553719
335,335,2,0,96,1,51.0,0,0,848,12.525,186,2,174.0
336,336,2,1,101,1,32.0,1,0,317,26.0,186,2,160.8099173553719
337,337,2,1,102,0,19.0,1,0,317,26.0,186,2,160.8099173553719
338,338,2,0,104,1,28.0,0,0,196,26.0,186,2,160.8099173553719
339,339,2,1,106,1,1.0,2,1,146,39.0,183,2,160.8099173553719
340,340,2,1,107,0,4.0,2,1,146,39.0,183,2,160.8099173553719
341,341,2,1,108,0,12.0,2,1,146,39.0,183,2,160.8099173553719
342,342,2,1,109,0,36.0,0,3,146,39.0,183,2,160.8099173553719
343,343,2,1,112,1,34.0,0,0,203,13.0,143,2,160.8099173553719
344,344,2,1,115,0,19.0,0,0,309,13.0,186,2,160.8099173553719
345,345,2,0,117,1,23.0,0,0,311,13.0,186,2,160.8099173553719
346,346,2,0,136,1,26.0,0,0,170,13.0,186,2,160.8099173553719
347,347,2,0,146,1,42.0,0,0,129,13.0,186,2,160.8099173553719
348,348,2,0,148,1,27.0,0,0,136,13.0,186,2,160.8099173553719
349,349,2,1,159,0,24.0,0,0,209,13.0,181,2,160.8099173553719
350,350,2,1,160,0,15.0,0,2,325,39.0,186,2,160.8099173553719
351,351,2,0,161,1,60.0,1,1,325,39.0,186,2,160.8099173553719
352,352,2,1,164,0,40.0,1,1,325,39.0,186,2,160.8099173553719
353,353,2,1,165,0,20.0,1,0,162,26.0,186,2,160.8099173553719
354,354,2,0,166,1,25.0,1,0,162,26.0,186,2,160.8099173553719
355,355,2,1,173,0,36.0,0,0,298,13.0,186,2,160.8099173553719
356,356,2,0,174,1,25.0,0,0,157,13.0,186,2,97.0
357,357,2,0,176,1,42.0,0,0,194,13.0,186,2,160.8099173553719
358,358,2,1,177,0,42.0,0,0,161,13.0,186,2,160.8099173553719
359,359,2,1,184,1,0.8333,0,2,211,29.0,186,2,160.8099173553719
